,名字,经度,纬度
0,徐教授烤鱼堂,108.404947,33.593837
1,皇冠印象,108.407413,33.593176
2,燕子山庄,108.411431,33.593541
3,臻香火锅,108.405086,33.59456
4,二嫂农家菜,108.406771,33.593102
5,重庆幺妹儿火锅,108.405987,33.593183
6,沃悦丰美食广场,108.445552,33.650476
7,宁陕县皇冠镇八宝饭馆,108.355282,33.536688
8,秦岭服务区-餐厅,108.495139,33.781713
9,农香居,108.556064,33.55618
10,顺和家宴(二店),108.319363,33.324141
11,富贵饭庄,108.596684,32.850861
12,丽丽家常小炒,108.317949,33.316096
13,五嫂家常菜,108.786155,33.767879
14,郡池酒家,108.783347,33.767526
15,川渝人家(京昆高速店),108.495066,33.781632
16,山城来客,108.319005,33.315921
17,悠然山旅游度假区悠然自得庭,108.290208,33.377687
18,蜀香园(满防线店),108.712434,33.764164
19,广货街中心农家乐(文文饭店),108.786037,33.76835
